BGGId,Rating,Username
213788,8.0,Tonydorrf
213788,8.0,tachyon14k
213788,8.0,Ungotter
213788,8.0,brainlocki3
213788,8.0,PPMP
213788,8.0,Dychotimer
213788,8.0,BioNighty
213788,8.0,htwongah
213788,8.0,CunningLinguist78
213788,8.0,Jimmy_Jamz
213788,8.0,Kartigan
213788,8.0,Fmoran94
213788,8.0,Mark1130
213788,8.0,Joel2014
213788,7.8,Narstrand
213788,7.6,EnrichedStarGuts
213788,7.50667,cmicha
213788,7.5,silentxsound
213788,7.5,dontylw
213788,7.5,Polono
213788,7.5,Josefam23
213788,7.5,m1hune2007
213788,7.2,LakerChief67
213788,7.0,Adidas02
213788,7.0,lemados
213788,7.0,Pumpkinhead76
213788,7.0,projectmoonlightcafe
213788,7.0,bassgonist
213788,7.0,SpaceAlien
213788,7.0,stormseeker75
213788,7.0,deerslurpee
213788,7.0,Mairus
213788,7.0,kezcade
213788,7.0,vdwoord
213788,7.0,Paletius
213788,7.0,GenomeHelix
213788,7.0,3villans
213788,7.0,Rhes
213788,7.0,yoshy_33
213788,7.0,Scaramanga1965
213788,7.0,cycyx
213788,7.0,crucial_velocity
213788,7.0,pluvia33
213788,7.0,Acward
213788,7.0,mccar85
213788,7.0,hatbeard
213788,7.0,sven8705
213788,7.0,Chunkmonger
213788,7.0,notjux
213788,7.0,Larnth
213788,7.0,thrake
213788,7.0,Jades09
213788,7.0,BuddasMammoth
213788,7.0,DurangoExile
213788,6.77778,DangerGeek85
213788,6.5,crynyd
213788,6.5,gator_ja
213788,6.5,Reuner
213788,6.0,FlussBurrito
213788,6.0,cygnuscrux
213788,6.0,bigwig30
213788,6.0,waltermac
213788,6.0,Moncalf
213788,6.0,JonnyKage
213788,6.0,leo707
213788,6.0,AzraelAsylum
213788,6.0,jedipanda
213788,6.0,Dave41fan
213788,5.0,margrabius
213788,5.0,wafflebun
213788,5.0,OGRussHood
213788,4.0,weidox
213788,4.0,himokl
213788,3.0,hyc4089
213788,1.5,MYKERAN1965
193500,5.0,Narfbuster
193500,5.0,Methrin
193500,5.0,Evabelle
193500,5.0,ngcx6611
193500,5.0,bmillerbwm
193500,5.0,CadizEstocolmo
193500,5.0,kelvbrown
193500,5.0,jenf
193500,5.0,thatthing1999
193500,5.0,alanB
193500,5.0,RyanThibault
193500,5.0,psychomansam
193500,5.0,aralias1
193500,5.0,Ba7ke7
193500,5.0,gap736uk
193500,5.0,Soelver
193500,5.0,mawihtec
193500,5.0,runarm
193500,5.0,atcho
193500,5.0,dekdekan
193500,5.0,Rob Bendig
193500,5.0,Abinrml
193500,5.0,meewarwoowoo
193500,5.0,MarkMagic
193500,5.0,Imscar
193500,4.0,Geeken
193500,4.0,prd1982
193500,4.0,kalfa
193500,4.0,UnwiseOwl
193500,4.0,bob_the_fish_ii
193500,4.0,TheLudoquist
193500,4.0,schkff
193500,4.0,en7kss
193500,4.0,zigazaur
193500,4.0,rplea
193500,4.0,TomVasel
193500,4.0,Big Hand Jim
193500,4.0,Kishibe
193500,4.0,FatherDagon
193500,4.0,doctorchewy
193500,4.0,john1771
193500,4.0,thetba
193500,4.0,CDrust
193500,4.0,CarolineBlack
193500,4.0,oldgoat3769967
193500,3.5,Firedrake
193500,3.0,cdlbear
193500,3.0,ej3ae
193500,3.0,Benji68
193500,3.0,drakecoldwinter
193500,3.0,Bobekistan
193500,3.0,CrazyCod
193500,3.0,Stumpy82
193500,3.0,MrMoo28
193500,3.0,deathrayoperator
193500,3.0,CindyV
193500,3.0,Roxolan
